Date,Cell,Ligand,alphStatCov,Dose,Skew,Time,Variance,Kurtosis,Mean,Bivalent
3/15/2019,Treg,IL2,-593907.0861631887,84.0,0.12620348726191008,4.0,386128165.9107983,-0.11053636827139846,30703.071672893202,0.0
3/15/2019,Treg,IL2,-203340.79364660464,28.0,0.03233788402429435,4.0,461312788.0284083,-0.31502471529166876,35101.939675126945,0.0
3/15/2019,Treg,IL2,-128498.2648247482,9.333333,-0.2115291502135114,4.0,518130884.2271894,-0.354637895988533,39737.009740753136,0.0
3/15/2019,Treg,IL2,-67745.63145731928,3.111,-0.3354708205279717,4.0,523497919.06463164,-0.4089556520213167,40771.271096392804,0.0
3/15/2019,Treg,IL2,153525.47753489227,1.037037,-0.32359760652233105,4.0,533579396.56591153,-0.393418646366932,40206.80833492928,0.0
3/15/2019,Treg,IL2,340496.3928497415,0.345679,-0.22324530443585258,4.0,577916389.5109031,-0.6454513608481167,38030.71100941647,0.0
3/15/2019,Treg,IL2,344314.10514863493,0.115226,-0.08916513982011981,4.0,503979571.1301623,-0.47017109413144365,33208.857051656596,0.0
3/15/2019,Treg,IL2,602139.1866066534,0.038409,0.29610348750722193,4.0,506800517.87231094,-0.7298837972875929,22325.84502368624,0.0
3/15/2019,Treg,IL2,523194.69493093103,0.012803,0.840416363553348,4.0,443894587.0175519,0.05470342446531573,11820.884933043943,0.0
3/15/2019,Treg,IL2,793569.2142134204,0.004268,1.296436671387105,4.0,308105838.4146173,1.2694309855413834,4343.729412919713,0.0
3/15/2019,Treg,IL2,701556.9553270369,0.001423,1.7877628698211507,4.0,202638243.83731583,2.958097870753207,0.0,0.0
3/15/2019,Treg,IL2,457998.0449008735,0.000474,2.494514312580041,4.0,98962940.74402875,7.808241162453848,0.0,0.0
3/15/2019,Treg,IL2,230412.22805700885,84.0,-0.5996953329668541,2.0,556686390.323592,-0.19450592859213822,49008.82285263566,0.0
3/15/2019,Treg,IL2,300323.4833686623,28.0,-0.6640019315685848,2.0,641954535.3565606,-0.3243027826955567,48214.087073145616,0.0
3/15/2019,Treg,IL2,-173615.05183743735,9.333333,-0.7570847359110413,2.0,615980472.486155,-0.10931351852116133,50159.860278726665,0.0
3/15/2019,Treg,IL2,-227499.16986799723,3.111,-0.7090059767922283,2.0,608573919.1462545,-0.16101104202171834,50009.98246748641,0.0
3/15/2019,Treg,IL2,136150.51517024264,1.037037,-0.6649543515218599,2.0,595396897.441819,-0.24630022729276968,47408.33585063701,0.0
3/15/2019,Treg,IL2,447437.5477436887,0.345679,-0.6248021508391626,2.0,685086500.3376597,-0.500207594269888,44206.170184853465,0.0
3/15/2019,Treg,IL2,795053.2984534578,0.115226,-0.5049047529525515,2.0,670794798.3875852,-0.627780487053891,41729.89594632151,0.0
3/15/2019,Treg,IL2,883413.7336439539,0.038409,-0.22248636102217972,2.0,768603142.3099619,-1.1423043242327926,34457.41558400432,0.0
3/15/2019,Treg,IL2,1669030.528406578,0.012803,0.28648575982008007,2.0,761525838.1374563,-1.064292158519556,25132.19130879196,0.0
3/15/2019,Treg,IL2,1254178.3076734724,0.004268,0.8974854657334427,2.0,568052291.3960595,-0.22997998620158322,11896.084168627194,0.0
3/15/2019,Treg,IL2,826387.6272632357,0.001423,1.3971847305002998,2.0,337386039.1655403,1.4641486473258114,4437.755666439576,0.0
3/15/2019,Treg,IL2,662646.3469897056,0.000474,1.7009545093579062,2.0,306524280.66770595,3.0148180314661044,2953.906975248121,0.0
3/15/2019,Treg,IL2,179891.74076915171,84.0,-0.7907466699125819,1.0,541030574.8211149,0.19410485551751444,49527.74766955462,0.0
3/15/2019,Treg,IL2,2059765.725167112,28.0,0.21167532425498467,1.0,572365267.5511669,-0.7770466750790201,32244.776653700785,0.0
3/15/2019,Treg,IL2,2951143.555415793,9.333333,0.4722416260766068,1.0,589838605.5877897,-0.640804843996091,25597.10827288621,0.0
3/15/2019,Treg,IL2,-155583.97855522818,3.111,-0.4295835667199036,1.0,537591844.3516926,-0.33296015203549656,45069.931136789004,0.0
3/15/2019,Treg,IL2,-143134.39931454795,1.037037,-0.7561175801121679,1.0,458328520.8043404,0.5283925067192525,52129.899612268746,0.0
3/15/2019,Treg,IL2,153295.97477747579,0.345679,-0.7699859628533853,1.0,539446344.2043387,0.22077517693618187,45869.35488348925,0.0
3/15/2019,Treg,IL2,262271.2222445923,0.115226,-0.5575853881293332,1.0,631165799.7593426,-0.45150603255825184,41896.49861897524,0.0
3/15/2019,Treg,IL2,723008.593043874,0.038409,-0.21434357146354804,1.0,633320125.6345036,-0.8759949087518151,32383.02472871823,0.0
3/15/2019,Treg,IL2,766708.0151260763,0.012803,0.026499208553752814,1.0,518638682.802839,-0.9500861360202797,23262.916453690523,0.0
3/15/2019,Treg,IL2,745361.7249589646,0.004268,0.6691163325865737,1.0,401703014.0491534,-0.24673936534629703,12454.269889784266,0.0
3/15/2019,Treg,IL2,563134.8694637656,0.001423,1.2281718477013066,1.0,281046708.2775163,1.169524183997546,4791.327004372872,0.0
3/15/2019,Treg,IL2,481182.21374751045,0.000474,2.9650055470566676,1.0,84843954.71382591,10.972977286663504,0.0,0.0
3/15/2019,Treg,IL2,-21685.14373417509,84.0,-0.477031415670882,0.5,304394964.4722259,0.42005601405369974,47471.26462963451,0.0
3/15/2019,Treg,IL2,666794.0366109404,28.0,-0.45451716162381206,0.5,374427304.14964277,0.013861582411009543,54446.235801735456,0.0
3/15/2019,Treg,IL2,330164.08335460495,9.333333,-0.9928805037655386,0.5,385856551.4145324,1.3171946474661338,57953.77513038571,0.0
